frame_id,strategy,block_id,class_id,confidence,x1,y1,x2,y2
1,full_frame_reference,full,7,0.6690,2117.20,994.61,2490.76,1239.33
1,full_frame_reference,full,2,0.4692,263.96,796.18,625.76,909.53
1,uniform_tiled_all_blocks,r1c0,2,0.6850,257.33,791.18,642.56,910.23
1,uniform_tiled_all_blocks,r1c1,2,0.6558,2114.49,993.96,2489.78,1240.03
1,uniform_tiled_all_blocks,r1c1,7,0.5603,2114.05,994.18,2489.03,1241.20
1,uniform_tiled_all_blocks,r1c1,2,0.4810,1939.08,1034.41,2029.64,1090.14
1,uniform_tiled_all_blocks,r1c1,2,0.2749,2025.78,1015.24,2144.17,1090.27
1,uniform_tiled_all_blocks,r1c1,2,0.2566,1929.55,1026.68,2006.46,1089.22
1,uniform_tiled_all_blocks,r2c1,2,0.2979,1287.05,1556.59,2555.64,2141.06
1,uniform_tiled_all_blocks,r2c2,4,0.4183,2563.76,1647.99,3833.07,2145.48
2,full_frame_reference,full,7,0.6988,2120.68,990.66,2500.06,1245.06
2,full_frame_reference,full,2,0.3485,155.30,780.01,550.50,902.84
2,uniform_tiled_all_blocks,r1c0,2,0.7325,155.51,781.52,548.89,903.62
2,uniform_tiled_all_blocks,r1c1,7,0.7774,2116.28,994.25,2498.64,1243.54
2,uniform_tiled_all_blocks,r1c1,2,0.5628,1938.49,1034.46,2029.45,1090.52
2,uniform_tiled_all_blocks,r2c2,4,0.5194,2563.57,1647.23,3833.45,2144.46
2,spatial_dsl_selected_blocks_320,r1c0,2,0.7330,155.51,781.51,548.89,903.61
2,spatial_dsl_selected_blocks_320,r1c1,7,0.7776,2116.29,994.26,2498.65,1243.54
2,spatial_dsl_selected_blocks_320,r1c1,2,0.5628,1938.52,1034.44,2029.45,1090.52
3,full_frame_reference,full,2,0.6636,42.72,770.54,504.18,900.71
3,full_frame_reference,full,7,0.5373,2121.99,993.65,2510.55,1245.07
3,full_frame_reference,full,2,0.3340,18.23,1080.85,3779.08,2133.25
3,full_frame_reference,full,2,0.2506,2122.67,994.64,2509.56,1245.32
3,uniform_tiled_all_blocks,r1c0,2,0.8165,39.06,772.09,502.69,902.25
3,uniform_tiled_all_blocks,r1c1,7,0.7057,2121.79,994.01,2505.84,1246.81
3,uniform_tiled_all_blocks,r1c1,2,0.5849,1946.01,1036.92,2029.26,1088.41
3,uniform_tiled_all_blocks,r1c1,2,0.3986,2123.52,991.47,2505.13,1247.84
3,uniform_tiled_all_blocks,r2c0,2,0.3911,7.31,1450.77,1272.03,2155.46
3,uniform_tiled_all_blocks,r2c1,2,0.3079,1286.81,1557.79,2554.30,2142.54
3,uniform_tiled_all_blocks,r2c2,4,0.4688,2563.61,1647.39,3832.63,2141.41
3,spatial_dsl_selected_blocks_320,r1c0,2,0.8164,39.04,772.09,502.69,902.26
3,spatial_dsl_selected_blocks_320,r1c1,7,0.7051,2121.80,994.00,2505.84,1246.82
3,spatial_dsl_selected_blocks_320,r1c1,2,0.5850,1946.04,1036.92,2029.25,1088.42
3,spatial_dsl_selected_blocks_320,r1c1,2,0.3993,2123.53,991.47,2505.12,1247.84
4,full_frame_reference,full,2,0.7011,0.34,758.78,457.32,891.45
4,full_frame_reference,full,7,0.6013,2122.60,994.40,2520.34,1255.41
4,full_frame_reference,full,2,0.3356,16.87,1070.13,3718.75,2135.21
4,full_frame_reference,full,2,0.2559,24.45,1526.24,3806.94,2141.05
4,uniform_tiled_all_blocks,r1c0,2,0.8806,0.04,758.62,456.08,899.95
4,uniform_tiled_all_blocks,r1c1,7,0.7460,2123.84,992.93,2518.26,1253.34
4,uniform_tiled_all_blocks,r1c1,2,0.4786,1956.08,1033.66,2030.96,1087.13
4,uniform_tiled_all_blocks,r1c1,2,0.4060,1937.10,1030.93,2022.48,1083.98
4,uniform_tiled_all_blocks,r1c1,2,0.2930,2025.96,1015.40,2143.61,1091.43
4,uniform_tiled_all_blocks,r2c0,2,0.4313,8.35,1445.71,1274.05,2156.28
4,uniform_tiled_all_blocks,r2c1,2,0.3244,1285.39,1556.36,2557.64,2143.49
4,uniform_tiled_all_blocks,r2c2,4,0.3979,2563.84,1649.67,3832.39,2142.54
4,spatial_dsl_selected_blocks_320,r1c0,2,0.8807,0.05,758.62,456.07,899.94
4,spatial_dsl_selected_blocks_320,r1c1,7,0.7460,2123.84,992.94,2518.26,1253.35
4,spatial_dsl_selected_blocks_320,r1c1,2,0.4781,1956.12,1033.66,2030.96,1087.12
4,spatial_dsl_selected_blocks_320,r1c1,2,0.4055,1937.16,1030.93,2022.45,1083.97
4,spatial_dsl_selected_blocks_320,r1c1,2,0.2935,2025.96,1015.41,2143.60,1091.43
5,full_frame_reference,full,7,0.6221,2131.44,991.49,2532.40,1266.45
5,full_frame_reference,full,2,0.4946,0.68,751.62,372.76,892.54
5,uniform_tiled_all_blocks,r1c0,2,0.8705,0.38,748.31,369.16,897.37
5,uniform_tiled_all_blocks,r1c1,7,0.7189,2126.57,990.52,2533.48,1254.97
5,uniform_tiled_all_blocks,r1c1,2,0.5381,1956.31,1038.98,2036.07,1088.25
5,uniform_tiled_all_blocks,r1c1,2,0.4476,1930.28,1032.69,2020.11,1085.19
5,uniform_tiled_all_blocks,r2c0,2,0.3473,8.54,1449.02,1271.63,2154.79
5,uniform_tiled_all_blocks,r2c1,2,0.4833,1286.67,1556.59,2556.35,2141.04
5,spatial_dsl_selected_blocks_320,r1c0,2,0.8705,0.38,748.32,369.16,897.36
5,spatial_dsl_selected_blocks_320,r1c1,7,0.7185,2126.55,990.52,2533.46,1254.98
5,spatial_dsl_selected_blocks_320,r1c1,2,0.5373,1956.29,1038.98,2036.08,1088.26
5,spatial_dsl_selected_blocks_320,r1c1,2,0.4466,1930.26,1032.69,2020.14,1085.18
6,full_frame_reference,full,7,0.6869,2130.99,991.65,2544.94,1263.55
6,full_frame_reference,full,2,0.3191,29.59,1549.21,3819.34,2138.66
6,uniform_tiled_all_blocks,r1c0,2,0.8222,0.55,736.33,273.36,889.21
6,uniform_tiled_all_blocks,r1c1,7,0.6156,2129.22,988.60,2540.71,1263.45
6,uniform_tiled_all_blocks,r1c1,2,0.5613,1957.94,1037.72,2034.17,1089.39
6,uniform_tiled_all_blocks,r1c1,2,0.3688,1929.49,1031.90,2013.82,1086.09
6,uniform_tiled_all_blocks,r2c0,2,0.3527,6.38,1444.18,1273.64,2155.53
6,uniform_tiled_all_blocks,r2c1,2,0.3035,1286.89,1557.80,2556.27,2142.16
6,uniform_tiled_all_blocks,r2c2,4,0.4629,2563.81,1648.87,3833.72,2143.04
6,spatial_dsl_selected_blocks_320,r1c0,2,0.8223,0.55,736.34,273.36,889.22
6,spatial_dsl_selected_blocks_320,r1c1,7,0.6155,2129.20,988.60,2540.69,1263.45
6,spatial_dsl_selected_blocks_320,r1c1,2,0.5623,1957.93,1037.71,2034.17,1089.39
6,spatial_dsl_selected_blocks_320,r1c1,2,0.3692,1929.48,1031.90,2013.96,1086.10
7,full_frame_reference,full,2,0.6556,0.84,737.19,163.62,883.32
7,full_frame_reference,full,7,0.5748,2136.77,988.87,2559.28,1268.39
7,uniform_tiled_all_blocks,r1c0,2,0.7528,0.51,737.89,162.15,885.41
7,uniform_tiled_all_blocks,r1c1,7,0.6796,2132.70,987.58,2546.45,1264.87
7,uniform_tiled_all_blocks,r1c1,2,0.5407,1952.57,1034.58,2038.36,1091.51
7,uniform_tiled_all_blocks,r1c1,2,0.3850,1929.79,1030.87,2035.87,1088.83
7,uniform_tiled_all_blocks,r2c0,2,0.3581,9.99,1444.48,1273.53,2137.13
7,uniform_tiled_all_blocks,r2c2,4,0.4099,2563.74,1649.90,3831.93,2140.65
7,spatial_dsl_selected_blocks_320,r1c0,2,0.7527,0.51,737.90,162.15,885.39
7,spatial_dsl_selected_blocks_320,r1c1,7,0.6793,2132.71,987.57,2546.45,1264.87
7,spatial_dsl_selected_blocks_320,r1c1,2,0.5410,1952.60,1034.57,2038.36,1091.52
7,spatial_dsl_selected_blocks_320,r1c1,2,0.3849,1929.79,1030.87,2035.88,1088.83
8,full_frame_reference,full,7,0.6553,2140.25,979.77,2565.38,1269.67
8,full_frame_reference,full,2,0.3126,12.75,1542.85,3835.24,2140.33
8,uniform_tiled_all_blocks,r1c1,7,0.6558,2137.96,986.53,2557.41,1270.71
8,uniform_tiled_all_blocks,r1c1,2,0.5290,1960.54,1034.92,2038.94,1091.46
8,uniform_tiled_all_blocks,r1c1,2,0.3701,1929.18,1030.83,2015.31,1088.63
8,uniform_tiled_all_blocks,r1c1,2,0.3058,2139.40,984.61,2553.69,1268.32
8,uniform_tiled_all_blocks,r2c0,2,0.3019,5.37,1445.88,1273.07,2158.38
8,uniform_tiled_all_blocks,r2c2,4,0.4085,2563.58,1610.70,3831.55,2143.45
