budget_ms,seed,strategy,avg_latency_ms_per_frame,avg_weighted_quality,budget_violations
100,100,Uniform feasible (fast),72.00,0.60,0
100,100,Top-K accurate,72.00,0.60,0
100,100,Greedy budget,93.96,0.69,0
100,100,Random budgeted,92.00,0.65,0
100,100,Spatial DSL,97.87,0.56,0
100,250,Uniform feasible (fast),72.00,0.60,0
100,250,Top-K accurate,72.00,0.60,0
100,250,Greedy budget,94.14,0.70,0
100,250,Random budgeted,92.00,0.65,0
100,250,Spatial DSL,97.68,0.56,0
100,500,Uniform feasible (fast),72.00,0.60,0
100,500,Top-K accurate,72.00,0.60,0
100,500,Greedy budget,94.20,0.70,0
100,500,Random budgeted,92.00,0.65,0
100,500,Spatial DSL,97.26,0.57,0
100,790,Uniform feasible (fast),72.00,0.60,0
100,790,Top-K accurate,72.00,0.60,0
100,790,Greedy budget,94.02,0.70,0
100,790,Random budgeted,92.00,0.65,0
100,790,Spatial DSL,97.93,0.57,0
100,1000,Uniform feasible (fast),72.00,0.60,0
100,1000,Top-K accurate,72.00,0.60,0
100,1000,Greedy budget,94.24,0.70,0
100,1000,Random budgeted,92.00,0.64,0
100,1000,Spatial DSL,97.89,0.57,0
130,100,Uniform feasible (fast),72.00,0.60,0
130,100,Top-K accurate,109.00,0.67,0
130,100,Greedy budget,123.16,0.76,0
130,100,Random budgeted,122.00,0.71,0
130,100,Spatial DSL,120.31,0.69,0
130,250,Uniform feasible (fast),72.00,0.60,0
130,250,Top-K accurate,109.00,0.67,0
130,250,Greedy budget,123.18,0.76,0
130,250,Random budgeted,122.00,0.71,0
130,250,Spatial DSL,120.43,0.69,0
130,500,Uniform feasible (fast),72.00,0.60,0
130,500,Top-K accurate,109.00,0.67,0
130,500,Greedy budget,123.34,0.76,0
130,500,Random budgeted,122.00,0.71,0
130,500,Spatial DSL,119.22,0.69,0
130,790,Uniform feasible (fast),72.00,0.60,0
130,790,Top-K accurate,109.00,0.67,0
130,790,Greedy budget,123.12,0.76,0
130,790,Random budgeted,122.00,0.71,0
130,790,Spatial DSL,120.20,0.70,0
130,1000,Uniform feasible (fast),72.00,0.60,0
130,1000,Top-K accurate,109.00,0.67,0
130,1000,Greedy budget,123.24,0.76,0
130,1000,Random budgeted,122.00,0.71,0
130,1000,Spatial DSL,120.10,0.69,0
160,100,Uniform feasible (fast),72.00,0.60,0
160,100,Top-K accurate,146.00,0.72,0
160,100,Greedy budget,152.40,0.80,0
160,100,Random budgeted,152.00,0.78,0
160,100,Spatial DSL,130.78,0.74,0
160,250,Uniform feasible (fast),72.00,0.60,0
160,250,Top-K accurate,146.00,0.72,0
160,250,Greedy budget,152.90,0.80,0
160,250,Random budgeted,152.00,0.78,0
160,250,Spatial DSL,130.37,0.74,0
160,500,Uniform feasible (fast),72.00,0.60,0
160,500,Top-K accurate,146.00,0.72,0
160,500,Greedy budget,152.60,0.80,0
160,500,Random budgeted,152.00,0.78,0
160,500,Spatial DSL,128.14,0.74,0
160,790,Uniform feasible (fast),72.00,0.60,0
160,790,Top-K accurate,146.00,0.72,0
160,790,Greedy budget,153.15,0.80,0
160,790,Random budgeted,152.00,0.78,0
160,790,Spatial DSL,129.13,0.74,0
160,1000,Uniform feasible (fast),72.00,0.60,0
160,1000,Top-K accurate,146.00,0.72,0
160,1000,Greedy budget,153.42,0.80,0
160,1000,Random budgeted,152.00,0.78,0
160,1000,Spatial DSL,130.61,0.74,0
200,100,Uniform feasible (balanced),162.00,0.80,0
200,100,Top-K accurate,183.00,0.77,0
200,100,Greedy budget,191.86,0.83,0
200,100,Random budgeted,189.00,0.81,0
200,100,Spatial DSL,131.68,0.74,0
200,250,Uniform feasible (balanced),162.00,0.80,0
200,250,Top-K accurate,183.00,0.77,0
200,250,Greedy budget,192.59,0.83,0
200,250,Random budgeted,189.00,0.81,0
200,250,Spatial DSL,131.59,0.74,0
200,500,Uniform feasible (balanced),162.00,0.80,0
200,500,Top-K accurate,183.00,0.77,0
200,500,Greedy budget,192.43,0.83,0
200,500,Random budgeted,189.00,0.81,0
200,500,Spatial DSL,128.40,0.74,0
200,790,Uniform feasible (balanced),162.00,0.80,0
200,790,Top-K accurate,183.00,0.77,0
200,790,Greedy budget,192.43,0.83,0
200,790,Random budgeted,189.00,0.81,0
200,790,Spatial DSL,130.45,0.74,0
200,1000,Uniform feasible (balanced),162.00,0.80,0
200,1000,Top-K accurate,183.00,0.77,0
200,1000,Greedy budget,193.00,0.83,0
200,1000,Random budgeted,189.00,0.81,0
200,1000,Spatial DSL,131.85,0.75,0
