frame_id,block_id,row,col,importance,motion,initial_mode,final_mode,rule_applied,downgraded_by_budget,final_latency_ms
1,r0c0,0,0,0.09,0.26,skip,skip,unimportant_block_skip,False,105.0
1,r0c1,0,1,0.15,0.2,skip,skip,unimportant_block_skip,False,105.0
1,r0c2,0,2,0.33,0.19,fast,fast,low_block_use_fast,False,105.0
1,r1c0,1,0,0.09,0.01,skip,skip,unimportant_block_skip,False,105.0
1,r1c1,1,1,0.35,0.35,fast,fast,low_block_use_fast,False,105.0
1,r1c2,1,2,0.52,0.63,balanced,balanced,medium_block_use_balanced,False,105.0
1,r2c0,2,0,0.47,0.23,fast,fast,low_block_use_fast,False,105.0
1,r2c1,2,1,0.67,0.57,balanced,balanced,medium_block_use_balanced,False,105.0
1,r2c2,2,2,0.98,0.59,accurate,accurate,important_block_use_accurate,False,105.0
2,r0c0,0,0,0.78,0.67,balanced,balanced,medium_block_use_balanced,False,141.0
2,r0c1,0,1,0.54,0.51,balanced,balanced,medium_block_use_balanced,False,141.0
2,r0c2,0,2,0.26,0.21,fast,fast,low_block_use_fast,False,141.0
2,r1c0,1,0,1.0,0.82,accurate,accurate,important_block_use_accurate,False,141.0
2,r1c1,1,1,0.74,0.48,balanced,balanced,medium_block_use_balanced,False,141.0
2,r1c2,1,2,0.46,0.44,fast,fast,low_block_use_fast,False,141.0
2,r2c0,2,0,0.74,0.63,balanced,balanced,medium_block_use_balanced,False,141.0
2,r2c1,2,1,0.43,0.26,fast,fast,low_block_use_fast,False,141.0
2,r2c2,2,2,0.02,0.08,skip,skip,unimportant_block_skip,False,141.0
3,r0c0,0,0,1.0,0.56,accurate,accurate,important_block_use_accurate,False,121.0
3,r0c1,0,1,0.68,0.39,balanced,balanced,medium_block_use_balanced,False,121.0
3,r0c2,0,2,0.33,0.46,fast,fast,low_block_use_fast,False,121.0
3,r1c0,1,0,0.6,0.39,balanced,balanced,medium_block_use_balanced,False,121.0
3,r1c1,1,1,0.42,0.36,fast,fast,low_block_use_fast,False,121.0
3,r1c2,1,2,0.25,0.09,fast,fast,low_block_use_fast,False,121.0
3,r2c0,2,0,0.29,0.32,fast,fast,low_block_use_fast,False,121.0
3,r2c1,2,1,0.21,0.2,fast,fast,low_block_use_fast,False,121.0
3,r2c2,2,2,0.18,0.27,skip,skip,unimportant_block_skip,False,121.0
4,r0c0,0,0,0.18,0.2,skip,skip,unimportant_block_skip,False,160.0
4,r0c1,0,1,0.52,0.22,balanced,fast,medium_block_use_balanced,True,160.0
4,r0c2,0,2,0.23,0.25,fast,skip,low_block_use_fast,True,160.0
4,r1c0,1,0,0.52,0.52,balanced,fast,medium_block_use_balanced,True,160.0
4,r1c1,1,1,0.8,0.52,accurate,accurate,important_block_use_accurate,False,160.0
4,r1c2,1,2,0.52,0.51,balanced,balanced,medium_block_use_balanced,False,160.0
4,r2c0,2,0,0.62,0.36,balanced,balanced,medium_block_use_balanced,False,160.0
4,r2c1,2,1,0.94,0.82,accurate,accurate,important_block_use_accurate,False,160.0
4,r2c2,2,2,0.52,0.59,balanced,balanced,medium_block_use_balanced,False,160.0
5,r0c0,0,0,0.19,0.2,skip,skip,unimportant_block_skip,False,131.0
5,r0c1,0,1,0.34,0.37,fast,fast,low_block_use_fast,False,131.0
5,r0c2,0,2,0.57,0.37,balanced,balanced,medium_block_use_balanced,False,131.0
5,r1c0,1,0,0.33,0.35,fast,fast,low_block_use_fast,False,131.0
5,r1c1,1,1,0.62,0.63,balanced,balanced,medium_block_use_balanced,False,131.0
5,r1c2,1,2,1.0,0.75,accurate,accurate,important_block_use_accurate,False,131.0
5,r2c0,2,0,0.27,0.07,fast,fast,low_block_use_fast,False,131.0
5,r2c1,2,1,0.42,0.22,fast,fast,low_block_use_fast,False,131.0
5,r2c2,2,2,0.73,0.42,balanced,balanced,medium_block_use_balanced,False,131.0
6,r0c0,0,0,1.0,0.71,accurate,accurate,important_block_use_accurate,False,115.0
6,r0c1,0,1,0.57,0.67,balanced,balanced,medium_block_use_balanced,False,115.0
6,r0c2,0,2,0.43,0.49,fast,fast,low_block_use_fast,False,115.0
6,r1c0,1,0,0.54,0.44,balanced,balanced,medium_block_use_balanced,False,115.0
6,r1c1,1,1,0.54,0.33,balanced,balanced,medium_block_use_balanced,False,115.0
6,r1c2,1,2,0.04,0.32,skip,skip,unimportant_block_skip,False,115.0
