frame_id,block_id,row,col,importance,motion,edge,selected_mode,rule_applied,x1,y1,x2,y2
1,r0c0,0,0,0.0845,0.0,0.1207,skip,default_skip,0,0,1280,720
1,r0c1,0,1,0.7,0.0,1.0,detect,high_importance_detect,1280,0,2560,720
1,r0c2,0,2,0.0909,0.0,0.1299,skip,default_skip,2560,0,3840,720
1,r1c0,1,0,0.478,0.0,0.6829,skip,default_skip,0,720,1280,1440
1,r1c1,1,1,0.6667,0.0,0.9525,detect,high_importance_detect,1280,720,2560,1440
1,r1c2,1,2,0.1843,0.0,0.2632,skip,default_skip,2560,720,3840,1440
1,r2c0,2,0,0.0,0.0,0.0,skip,default_skip,0,1440,1280,2160
1,r2c1,2,1,0.3596,0.0,0.5137,skip,default_skip,1280,1440,2560,2160
1,r2c2,2,2,0.1057,0.0,0.1511,skip,default_skip,2560,1440,3840,2160
2,r0c0,0,0,0.1297,0.1441,0.1236,skip,default_skip,0,0,1280,720
2,r0c1,0,1,0.9658,0.8859,1.0,detect,high_importance_detect,1280,0,2560,720
2,r0c2,0,2,0.1741,0.2926,0.1232,skip,default_skip,2560,0,3840,720
2,r1c0,1,0,0.6387,0.5616,0.6717,detect,high_importance_detect,0,720,1280,1440
2,r1c1,1,1,0.956,1.0,0.9371,detect,high_importance_detect,1280,720,2560,1440
2,r1c2,1,2,0.2136,0.1137,0.2563,skip,default_skip,2560,720,3840,1440
2,r2c0,2,0,0.0,0.0,0.0,skip,default_skip,0,1440,1280,2160
2,r2c1,2,1,0.3966,0.2042,0.4791,skip,default_skip,1280,1440,2560,2160
2,r2c2,2,2,0.1179,0.0411,0.1509,skip,default_skip,2560,1440,3840,2160
3,r0c0,0,0,0.1129,0.1002,0.1184,skip,default_skip,0,0,1280,720
3,r0c1,0,1,0.987,0.9566,1.0,detect,high_importance_detect,1280,0,2560,720
3,r0c2,0,2,0.1789,0.3346,0.1121,skip,default_skip,2560,0,3840,720
3,r1c0,1,0,0.6438,0.5496,0.6842,detect,high_importance_detect,0,720,1280,1440
3,r1c1,1,1,0.9613,1.0,0.9447,detect,high_importance_detect,1280,720,2560,1440
3,r1c2,1,2,0.2015,0.072,0.2569,skip,default_skip,2560,720,3840,1440
3,r2c0,2,0,0.0,0.0,0.0,skip,default_skip,0,1440,1280,2160
3,r2c1,2,1,0.412,0.2089,0.4991,skip,default_skip,1280,1440,2560,2160
3,r2c2,2,2,0.1175,0.0362,0.1524,skip,default_skip,2560,1440,3840,2160
4,r0c0,0,0,0.1128,0.0786,0.1274,skip,default_skip,0,0,1280,720
4,r0c1,0,1,0.9808,0.936,1.0,detect,high_importance_detect,1280,0,2560,720
4,r0c2,0,2,0.1899,0.3793,0.1088,skip,default_skip,2560,0,3840,720
4,r1c0,1,0,0.6288,0.486,0.69,detect,high_importance_detect,0,720,1280,1440
4,r1c1,1,1,0.9626,1.0,0.9466,detect,high_importance_detect,1280,720,2560,1440
4,r1c2,1,2,0.237,0.1882,0.258,skip,default_skip,2560,720,3840,1440
4,r2c0,2,0,0.0,0.0,0.0,skip,default_skip,0,1440,1280,2160
4,r2c1,2,1,0.4267,0.282,0.4887,skip,default_skip,1280,1440,2560,2160
4,r2c2,2,2,0.1416,0.104,0.1578,skip,default_skip,2560,1440,3840,2160
5,r0c0,0,0,0.1207,0.1205,0.1208,skip,default_skip,0,0,1280,720
5,r0c1,0,1,0.9522,0.8408,1.0,detect,high_importance_detect,1280,0,2560,720
5,r0c2,0,2,0.1557,0.2809,0.102,skip,default_skip,2560,0,3840,720
5,r1c0,1,0,0.6569,0.5648,0.6964,detect,high_importance_detect,0,720,1280,1440
5,r1c1,1,1,0.9588,1.0,0.9411,detect,high_importance_detect,1280,720,2560,1440
5,r1c2,1,2,0.23,0.1675,0.2568,skip,default_skip,2560,720,3840,1440
5,r2c0,2,0,0.0,0.0,0.0,skip,default_skip,0,1440,1280,2160
5,r2c1,2,1,0.4185,0.183,0.5194,skip,default_skip,1280,1440,2560,2160
5,r2c2,2,2,0.1218,0.0229,0.1642,skip,default_skip,2560,1440,3840,2160
6,r0c0,0,0,0.0964,0.1262,0.0837,skip,default_skip,0,0,1280,720
6,r0c1,0,1,1.0,1.0,1.0,detect,high_importance_detect,1280,0,2560,720
6,r0c2,0,2,0.1319,0.3163,0.0528,skip,default_skip,2560,0,3840,720
6,r1c0,1,0,0.6646,0.6164,0.6852,detect,high_importance_detect,0,720,1280,1440
6,r1c1,1,1,0.9475,0.9785,0.9342,detect,high_importance_detect,1280,720,2560,1440
6,r1c2,1,2,0.2327,0.2463,0.2268,skip,default_skip,2560,720,3840,1440
6,r2c0,2,0,0.0,0.0,0.0,skip,default_skip,0,1440,1280,2160
6,r2c1,2,1,0.4464,0.2769,0.519,skip,default_skip,1280,1440,2560,2160
6,r2c2,2,2,0.0969,0.0276,0.1266,skip,default_skip,2560,1440,3840,2160
7,r0c0,0,0,0.0698,0.1173,0.0494,skip,default_skip,0,0,1280,720
7,r0c1,0,1,0.9835,0.9451,1.0,detect,high_importance_detect,1280,0,2560,720
7,r0c2,0,2,0.1027,0.2843,0.0249,skip,default_skip,2560,0,3840,720
7,r1c0,1,0,0.6733,0.6324,0.6908,detect,high_importance_detect,0,720,1280,1440
7,r1c1,1,1,0.9599,1.0,0.9427,detect,high_importance_detect,1280,720,2560,1440
7,r1c2,1,2,0.2335,0.3168,0.1979,skip,default_skip,2560,720,3840,1440
7,r2c0,2,0,0.0021,0.0069,0.0,skip,default_skip,0,1440,1280,2160
7,r2c1,2,1,0.458,0.2322,0.5547,skip,default_skip,1280,1440,2560,2160
7,r2c2,2,2,0.0749,0.0,0.1069,skip,default_skip,2560,1440,3840,2160
8,r0c0,0,0,0.0512,0.1096,0.0262,skip,default_skip,0,0,1280,720
8,r0c1,0,1,0.9722,0.9072,1.0,detect,high_importance_detect,1280,0,2560,720
8,r0c2,0,2,0.0815,0.2716,0.0,skip,default_skip,2560,0,3840,720
8,r1c0,1,0,0.6837,0.6638,0.6922,detect,high_importance_detect,0,720,1280,1440
8,r1c1,1,1,0.946,1.0,0.9229,detect,high_importance_detect,1280,720,2560,1440
8,r1c2,1,2,0.2522,0.3873,0.1944,skip,default_skip,2560,720,3840,1440
8,r2c0,2,0,0.0093,0.0064,0.0105,skip,default_skip,0,1440,1280,2160
8,r2c1,2,1,0.4713,0.2573,0.563,skip,default_skip,1280,1440,2560,2160
8,r2c2,2,2,0.05,0.0,0.0715,skip,default_skip,2560,1440,3840,2160
9,r0c0,0,0,0.0714,0.1177,0.0515,skip,default_skip,0,0,1280,720
9,r0c1,0,1,1.0,1.0,1.0,detect,high_importance_detect,1280,0,2560,720
9,r0c2,0,2,0.0801,0.2671,0.0,skip,default_skip,2560,0,3840,720
9,r1c0,1,0,0.7271,0.7123,0.7334,detect,high_importance_detect,0,720,1280,1440
9,r1c1,1,1,0.9438,0.9572,0.9381,detect,high_importance_detect,1280,720,2560,1440
9,r1c2,1,2,0.2991,0.4563,0.2316,skip,default_skip,2560,720,3840,1440
9,r2c0,2,0,0.0567,0.0083,0.0775,skip,default_skip,0,1440,1280,2160
9,r2c1,2,1,0.5869,0.2814,0.7178,detect,high_importance_detect,1280,1440,2560,2160
9,r2c2,2,2,0.1263,0.0,0.1804,skip,default_skip,2560,1440,3840,2160
10,r0c0,0,0,0.0679,0.1143,0.048,skip,default_skip,0,0,1280,720
10,r0c1,0,1,1.0,1.0,1.0,detect,high_importance_detect,1280,0,2560,720
10,r0c2,0,2,0.0783,0.2611,0.0,skip,default_skip,2560,0,3840,720
