frame_id,strategy,block_id,class_id,confidence,x1,y1,x2,y2
1,full_frame_reference,full,5,0.9402,3.83,229.36,796.20,728.42
1,full_frame_reference,full,0,0.8881,671.02,394.82,809.81,878.71
1,full_frame_reference,full,0,0.8783,47.42,399.57,239.31,904.20
1,full_frame_reference,full,0,0.8557,223.06,408.69,344.47,860.44
1,full_frame_reference,full,0,0.6221,0.02,556.08,68.86,872.37
1,spatial_dsl,r2c1,0,0.4831,271.15,720.22,338.98,859.83
1,spatial_dsl,r2c2,0,0.3623,668.46,720.17,802.43,878.06
1,spatial_dsl,r2c2,0,0.2891,592.19,720.25,801.50,878.26
2,full_frame_reference,full,5,0.9402,3.83,229.36,796.20,728.42
2,full_frame_reference,full,0,0.8881,671.02,394.82,809.81,878.71
2,full_frame_reference,full,0,0.8783,47.42,399.57,239.31,904.20
2,full_frame_reference,full,0,0.8557,223.06,408.69,344.47,860.44
2,full_frame_reference,full,0,0.6221,0.02,556.08,68.86,872.37
2,spatial_dsl,r2c1,0,0.4831,271.15,720.22,338.98,859.83
2,spatial_dsl,r2c2,0,0.3623,668.46,720.17,802.43,878.06
2,spatial_dsl,r2c2,0,0.2891,592.19,720.25,801.50,878.26
3,full_frame_reference,full,5,0.9402,3.83,229.36,796.20,728.42
3,full_frame_reference,full,0,0.8881,671.02,394.82,809.81,878.71
3,full_frame_reference,full,0,0.8783,47.42,399.57,239.31,904.20
3,full_frame_reference,full,0,0.8557,223.06,408.69,344.47,860.44
3,full_frame_reference,full,0,0.6221,0.02,556.08,68.86,872.37
3,spatial_dsl,r2c1,0,0.4831,271.15,720.22,338.98,859.83
3,spatial_dsl,r2c2,0,0.3623,668.46,720.17,802.43,878.06
3,spatial_dsl,r2c2,0,0.2891,592.19,720.25,801.50,878.26
4,full_frame_reference,full,5,0.9402,3.83,229.36,796.20,728.42
4,full_frame_reference,full,0,0.8881,671.02,394.82,809.81,878.71
4,full_frame_reference,full,0,0.8783,47.42,399.57,239.31,904.20
4,full_frame_reference,full,0,0.8557,223.06,408.69,344.47,860.44
4,full_frame_reference,full,0,0.6221,0.02,556.08,68.86,872.37
4,spatial_dsl,r2c1,0,0.4831,271.15,720.22,338.98,859.83
4,spatial_dsl,r2c2,0,0.3623,668.46,720.17,802.43,878.06
4,spatial_dsl,r2c2,0,0.2891,592.19,720.25,801.50,878.26
5,full_frame_reference,full,5,0.9402,3.83,229.36,796.20,728.42
5,full_frame_reference,full,0,0.8881,671.02,394.82,809.81,878.71
5,full_frame_reference,full,0,0.8783,47.42,399.57,239.31,904.20
5,full_frame_reference,full,0,0.8557,223.06,408.69,344.47,860.44
5,full_frame_reference,full,0,0.6221,0.02,556.08,68.86,872.37
5,spatial_dsl,r2c1,0,0.4831,271.15,720.22,338.98,859.83
5,spatial_dsl,r2c2,0,0.3623,668.46,720.17,802.43,878.06
5,spatial_dsl,r2c2,0,0.2891,592.19,720.25,801.50,878.26
6,full_frame_reference,full,5,0.9402,3.83,229.36,796.20,728.42
6,full_frame_reference,full,0,0.8881,671.02,394.82,809.81,878.71
6,full_frame_reference,full,0,0.8783,47.42,399.57,239.31,904.20
6,full_frame_reference,full,0,0.8557,223.06,408.69,344.47,860.44
6,full_frame_reference,full,0,0.6221,0.02,556.08,68.86,872.37
6,spatial_dsl,r2c1,0,0.4831,271.15,720.22,338.98,859.83
6,spatial_dsl,r2c2,0,0.3623,668.46,720.17,802.43,878.06
6,spatial_dsl,r2c2,0,0.2891,592.19,720.25,801.50,878.26
7,full_frame_reference,full,5,0.9402,3.83,229.36,796.20,728.42
7,full_frame_reference,full,0,0.8881,671.02,394.82,809.81,878.71
7,full_frame_reference,full,0,0.8783,47.42,399.57,239.31,904.20
7,full_frame_reference,full,0,0.8557,223.06,408.69,344.47,860.44
7,full_frame_reference,full,0,0.6221,0.02,556.08,68.86,872.37
7,spatial_dsl,r2c1,0,0.4831,271.15,720.22,338.98,859.83
7,spatial_dsl,r2c2,0,0.3623,668.46,720.17,802.43,878.06
7,spatial_dsl,r2c2,0,0.2891,592.19,720.25,801.50,878.26
8,full_frame_reference,full,5,0.9402,3.83,229.36,796.20,728.42
8,full_frame_reference,full,0,0.8881,671.02,394.82,809.81,878.71
8,full_frame_reference,full,0,0.8783,47.42,399.57,239.31,904.20
8,full_frame_reference,full,0,0.8557,223.06,408.69,344.47,860.44
8,full_frame_reference,full,0,0.6221,0.02,556.08,68.86,872.37
8,spatial_dsl,r2c1,0,0.4831,271.15,720.22,338.98,859.83
8,spatial_dsl,r2c2,0,0.3623,668.46,720.17,802.43,878.06
8,spatial_dsl,r2c2,0,0.2891,592.19,720.25,801.50,878.26
9,full_frame_reference,full,5,0.9402,3.83,229.36,796.20,728.42
9,full_frame_reference,full,0,0.8881,671.02,394.82,809.81,878.71
9,full_frame_reference,full,0,0.8783,47.42,399.57,239.31,904.20
9,full_frame_reference,full,0,0.8557,223.06,408.69,344.47,860.44
9,full_frame_reference,full,0,0.6221,0.02,556.08,68.86,872.37
9,spatial_dsl,r2c1,0,0.4831,271.15,720.22,338.98,859.83
9,spatial_dsl,r2c2,0,0.3623,668.46,720.17,802.43,878.06
9,spatial_dsl,r2c2,0,0.2891,592.19,720.25,801.50,878.26
10,full_frame_reference,full,5,0.9402,3.83,229.36,796.20,728.42
10,full_frame_reference,full,0,0.8881,671.02,394.82,809.81,878.71
10,full_frame_reference,full,0,0.8783,47.42,399.57,239.31,904.20
10,full_frame_reference,full,0,0.8557,223.06,408.69,344.47,860.44
10,full_frame_reference,full,0,0.6221,0.02,556.08,68.86,872.37
10,spatial_dsl,r2c1,0,0.4831,271.15,720.22,338.98,859.83
10,spatial_dsl,r2c2,0,0.3623,668.46,720.17,802.43,878.06
10,spatial_dsl,r2c2,0,0.2891,592.19,720.25,801.50,878.26
11,full_frame_reference,full,5,0.9402,3.83,229.36,796.20,728.42
11,full_frame_reference,full,0,0.8881,671.02,394.82,809.81,878.71
11,full_frame_reference,full,0,0.8783,47.42,399.57,239.31,904.20
11,full_frame_reference,full,0,0.8557,223.06,408.69,344.47,860.44
11,full_frame_reference,full,0,0.6221,0.02,556.08,68.86,872.37
11,spatial_dsl,r2c1,0,0.4831,271.15,720.22,338.98,859.83
11,spatial_dsl,r2c2,0,0.3623,668.46,720.17,802.43,878.06
11,spatial_dsl,r2c2,0,0.2891,592.19,720.25,801.50,878.26
12,full_frame_reference,full,5,0.9402,3.83,229.36,796.20,728.42
12,full_frame_reference,full,0,0.8881,671.02,394.82,809.81,878.71
12,full_frame_reference,full,0,0.8783,47.42,399.57,239.31,904.20
12,full_frame_reference,full,0,0.8557,223.06,408.69,344.47,860.44
12,full_frame_reference,full,0,0.6221,0.02,556.08,68.86,872.37
12,spatial_dsl,r2c1,0,0.4831,271.15,720.22,338.98,859.83
12,spatial_dsl,r2c2,0,0.3623,668.46,720.17,802.43,878.06
12,spatial_dsl,r2c2,0,0.2891,592.19,720.25,801.50,878.26
13,full_frame_reference,full,5,0.9402,3.83,229.36,796.20,728.42
13,full_frame_reference,full,0,0.8881,671.02,394.82,809.81,878.71
13,full_frame_reference,full,0,0.8783,47.42,399.57,239.31,904.20
13,full_frame_reference,full,0,0.8557,223.06,408.69,344.47,860.44
13,full_frame_reference,full,0,0.6221,0.02,556.08,68.86,872.37
13,spatial_dsl,r2c1,0,0.4831,271.15,720.22,338.98,859.83
13,spatial_dsl,r2c2,0,0.3623,668.46,720.17,802.43,878.06
13,spatial_dsl,r2c2,0,0.2891,592.19,720.25,801.50,878.26
14,full_frame_reference,full,5,0.9402,3.83,229.36,796.20,728.42
14,full_frame_reference,full,0,0.8881,671.02,394.82,809.81,878.71
14,full_frame_reference,full,0,0.8783,47.42,399.57,239.31,904.20
14,full_frame_reference,full,0,0.8557,223.06,408.69,344.47,860.44
14,full_frame_reference,full,0,0.6221,0.02,556.08,68.86,872.37
14,spatial_dsl,r2c1,0,0.4831,271.15,720.22,338.98,859.83
14,spatial_dsl,r2c2,0,0.3623,668.46,720.17,802.43,878.06
14,spatial_dsl,r2c2,0,0.2891,592.19,720.25,801.50,878.26
15,full_frame_reference,full,5,0.9402,3.83,229.36,796.20,728.42
15,full_frame_reference,full,0,0.8881,671.02,394.82,809.81,878.71
15,full_frame_reference,full,0,0.8783,47.42,399.57,239.31,904.20
15,full_frame_reference,full,0,0.8557,223.06,408.69,344.47,860.44
15,full_frame_reference,full,0,0.6221,0.02,556.08,68.86,872.37
15,spatial_dsl,r2c1,0,0.4831,271.15,720.22,338.98,859.83
15,spatial_dsl,r2c2,0,0.3623,668.46,720.17,802.43,878.06
15,spatial_dsl,r2c2,0,0.2891,592.19,720.25,801.50,878.26
16,full_frame_reference,full,5,0.9402,3.83,229.36,796.20,728.42
16,full_frame_reference,full,0,0.8881,671.02,394.82,809.81,878.71
16,full_frame_reference,full,0,0.8783,47.42,399.57,239.31,904.20
16,full_frame_reference,full,0,0.8557,223.06,408.69,344.47,860.44
16,full_frame_reference,full,0,0.6221,0.02,556.08,68.86,872.37
16,spatial_dsl,r2c1,0,0.4831,271.15,720.22,338.98,859.83
16,spatial_dsl,r2c2,0,0.3623,668.46,720.17,802.43,878.06
