frame_id,block_id,row,col,importance,motion,edge,selected_mode,rule_applied,x1,y1,x2,y2
1,r0c0,0,0,0.2702,0.0,0.386,skip,default_skip,0,0,270,360
1,r0c1,0,1,0.1324,0.0,0.1891,skip,default_skip,270,0,540,360
1,r0c2,0,2,0.338,0.0,0.4829,skip,default_skip,540,0,810,360
1,r1c0,1,0,0.273,0.0,0.3901,skip,default_skip,0,360,270,720
1,r1c1,1,1,0.0,0.0,0.0,skip,default_skip,270,360,540,720
1,r1c2,1,2,0.1369,0.0,0.1956,skip,default_skip,540,360,810,720
1,r2c0,2,0,0.5084,0.0,0.7263,skip,default_skip,0,720,270,1080
1,r2c1,2,1,0.6685,0.0,0.955,detect,high_importance_detect,270,720,540,1080
1,r2c2,2,2,0.7,0.0,1.0,detect,high_importance_detect,540,720,810,1080
2,r0c0,0,0,0.2702,0.0,0.386,skip,default_skip,0,0,270,360
2,r0c1,0,1,0.1324,0.0,0.1891,skip,default_skip,270,0,540,360
2,r0c2,0,2,0.338,0.0,0.4829,skip,default_skip,540,0,810,360
2,r1c0,1,0,0.273,0.0,0.3901,skip,default_skip,0,360,270,720
2,r1c1,1,1,0.0,0.0,0.0,skip,default_skip,270,360,540,720
2,r1c2,1,2,0.1369,0.0,0.1956,skip,default_skip,540,360,810,720
2,r2c0,2,0,0.5084,0.0,0.7263,skip,default_skip,0,720,270,1080
2,r2c1,2,1,0.6685,0.0,0.955,detect,high_importance_detect,270,720,540,1080
2,r2c2,2,2,0.7,0.0,1.0,detect,high_importance_detect,540,720,810,1080
3,r0c0,0,0,0.2702,0.0,0.386,skip,default_skip,0,0,270,360
3,r0c1,0,1,0.1324,0.0,0.1891,skip,default_skip,270,0,540,360
3,r0c2,0,2,0.338,0.0,0.4829,skip,default_skip,540,0,810,360
3,r1c0,1,0,0.273,0.0,0.3901,skip,default_skip,0,360,270,720
3,r1c1,1,1,0.0,0.0,0.0,skip,default_skip,270,360,540,720
3,r1c2,1,2,0.1369,0.0,0.1956,skip,default_skip,540,360,810,720
