frame_id,strategy,block_id,class_id,confidence,x1,y1,x2,y2
1,full_frame_reference,full,2,0.7958,2456.45,1479.86,3051.21,1813.39
1,full_frame_reference,full,2,0.7781,1439.16,1539.32,1930.65,1893.94
1,full_frame_reference,full,2,0.7730,3180.29,1155.11,3638.35,1359.37
1,full_frame_reference,full,2,0.6188,797.77,1102.54,1038.48,1255.71
1,full_frame_reference,full,2,0.6047,3572.58,1410.07,3838.43,1735.50
1,full_frame_reference,full,2,0.6012,2485.42,1198.90,2836.01,1378.41
1,full_frame_reference,full,7,0.5887,422.06,1793.25,1110.10,2156.10
1,full_frame_reference,full,2,0.5833,363.01,1327.33,706.06,1569.76
1,full_frame_reference,full,2,0.5271,1266.25,1185.41,1571.01,1346.92
1,full_frame_reference,full,2,0.4292,1150.63,1041.37,1366.21,1173.41
1,full_frame_reference,full,2,0.4291,0.31,1515.77,75.92,1709.40
1,full_frame_reference,full,0,0.3954,728.63,1293.55,794.76,1448.08
1,full_frame_reference,full,2,0.3921,3195.45,953.29,3487.52,1070.44
1,full_frame_reference,full,2,0.3773,1452.03,976.74,1687.43,1101.00
1,full_frame_reference,full,2,0.3565,474.90,887.47,660.96,1016.38
1,full_frame_reference,full,2,0.3555,871.23,910.87,1050.59,1031.21
1,full_frame_reference,full,2,0.3485,1733.47,857.68,1842.86,946.84
1,full_frame_reference,full,2,0.3088,3679.01,951.68,3834.11,1067.48
1,full_frame_reference,full,2,0.3060,1619.71,1098.15,1843.78,1259.90
1,full_frame_reference,full,2,0.3037,0.70,1235.64,172.76,1442.94
1,full_frame_reference,full,2,0.2995,1263.47,859.92,1448.48,968.77
1,full_frame_reference,full,2,0.2900,742.80,866.81,910.67,979.54
1,full_frame_reference,full,2,0.2525,0.86,1095.09,176.14,1439.45
1,full_frame_reference,full,2,0.2507,2287.54,955.57,2506.22,1061.34
1,uniform_tiled_all_blocks,r0c0,6,0.4386,4.61,440.57,1272.55,720.00
1,uniform_tiled_all_blocks,r0c1,2,0.2718,1842.90,661.42,1977.46,719.20
1,uniform_tiled_all_blocks,r0c2,2,0.4904,2845.70,646.57,3026.72,714.73
1,uniform_tiled_all_blocks,r0c2,2,0.3983,3662.41,643.49,3749.15,688.71
1,uniform_tiled_all_blocks,r0c2,7,0.3741,3236.09,622.64,3330.77,712.50
1,uniform_tiled_all_blocks,r0c2,2,0.3405,2606.14,634.41,2670.78,694.64
1,uniform_tiled_all_blocks,r0c2,2,0.2781,3615.80,644.97,3756.50,718.38
1,uniform_tiled_all_blocks,r1c0,2,0.8007,798.74,1090.59,1038.50,1252.60
1,uniform_tiled_all_blocks,r1c0,2,0.6977,1146.21,1030.63,1279.31,1176.16
1,uniform_tiled_all_blocks,r1c0,2,0.6802,870.87,907.91,1048.41,1024.71
1,uniform_tiled_all_blocks,r1c0,2,0.4946,748.29,863.61,906.08,973.97
1,uniform_tiled_all_blocks,r1c0,0,0.4888,730.44,1290.78,797.69,1437.37
1,uniform_tiled_all_blocks,r1c0,2,0.4720,0.00,1239.68,174.20,1422.33
1,uniform_tiled_all_blocks,r1c0,2,0.4574,38.60,1020.38,232.45,1153.37
1,uniform_tiled_all_blocks,r1c0,2,0.4561,0.15,969.46,113.91,1092.98
1,uniform_tiled_all_blocks,r1c0,2,0.4523,478.24,885.92,662.57,1014.07
1,uniform_tiled_all_blocks,r1c0,2,0.4324,363.93,1329.64,683.20,1440.00
1,uniform_tiled_all_blocks,r1c0,2,0.3325,1029.90,843.65,1200.02,938.92
1,uniform_tiled_all_blocks,r1c1,2,0.5720,1280.09,1179.89,1570.61,1342.92
1,uniform_tiled_all_blocks,r1c1,2,0.5718,2285.44,950.75,2506.19,1060.26
1,uniform_tiled_all_blocks,r1c1,2,0.5187,1444.70,973.28,1681.24,1104.75
1,uniform_tiled_all_blocks,r1c1,2,0.5183,1625.28,1108.98,1851.03,1240.20
1,uniform_tiled_all_blocks,r1c1,2,0.4241,2488.57,1216.64,2559.00,1325.99
1,uniform_tiled_all_blocks,r1c1,7,0.3945,1445.36,971.17,1681.37,1102.35
1,uniform_tiled_all_blocks,r1c1,2,0.3828,1280.49,1035.23,1366.05,1157.01
1,uniform_tiled_all_blocks,r1c1,7,0.3710,1624.00,1106.96,1849.50,1235.62
1,uniform_tiled_all_blocks,r1c1,7,0.3544,2196.03,821.53,2313.81,924.09
1,uniform_tiled_all_blocks,r1c1,2,0.3543,1830.99,837.68,1954.36,935.80
1,uniform_tiled_all_blocks,r1c1,7,0.3248,2287.49,948.11,2505.71,1063.29
1,uniform_tiled_all_blocks,r1c1,2,0.3219,1739.59,858.29,1843.51,944.49
1,uniform_tiled_all_blocks,r1c1,7,0.2879,1280.36,1037.06,1367.41,1159.00
1,uniform_tiled_all_blocks,r1c1,7,0.2849,2369.68,826.75,2457.22,918.28
1,uniform_tiled_all_blocks,r1c1,7,0.2622,1281.82,852.20,1449.76,954.11
1,uniform_tiled_all_blocks,r1c2,2,0.8632,2560.00,1194.58,2833.53,1368.12
1,uniform_tiled_all_blocks,r1c2,2,0.8561,3177.16,1154.31,3635.79,1359.02
1,uniform_tiled_all_blocks,r1c2,2,0.7941,3208.80,957.02,3487.57,1064.39
1,uniform_tiled_all_blocks,r1c2,2,0.6074,3683.98,948.50,3823.17,1064.09
1,uniform_tiled_all_blocks,r1c2,2,0.5924,3624.24,784.85,3770.07,877.35
1,uniform_tiled_all_blocks,r1c2,2,0.5562,3720.02,1058.68,3839.35,1234.49
1,uniform_tiled_all_blocks,r1c2,2,0.3842,2560.05,819.53,2620.71,920.16
1,uniform_tiled_all_blocks,r1c2,2,0.2997,3547.97,720.00,3676.32,790.45
1,uniform_tiled_all_blocks,r1c2,7,0.2828,2560.20,819.04,2621.47,922.41
1,uniform_tiled_all_blocks,r2c0,7,0.5306,423.79,1794.97,1106.45,2153.73
1,uniform_tiled_all_blocks,r2c0,2,0.4787,370.19,1440.00,701.40,1572.23
1,uniform_tiled_all_blocks,r2c0,2,0.4232,0.11,1507.98,80.03,1701.78
1,uniform_tiled_all_blocks,r2c1,2,0.8096,1443.88,1542.58,1933.15,1865.51
1,uniform_tiled_all_blocks,r2c1,2,0.5774,2465.28,1496.60,2558.87,1687.28
1,uniform_tiled_all_blocks,r2c2,2,0.8417,2560.67,1440.00,3052.89,1799.06
1,uniform_tiled_all_blocks,r2c2,2,0.8405,3576.86,1440.00,3839.08,1729.02
1,spatial_dsl_selected_blocks,r1c0,2,0.8012,798.74,1090.57,1038.50,1252.60
1,spatial_dsl_selected_blocks,r1c0,2,0.6979,1146.21,1030.63,1279.31,1176.17
1,spatial_dsl_selected_blocks,r1c0,2,0.6802,870.87,907.90,1048.41,1024.73
1,spatial_dsl_selected_blocks,r1c0,2,0.4954,748.29,863.61,906.08,973.97
1,spatial_dsl_selected_blocks,r1c0,0,0.4883,730.43,1290.77,797.69,1437.36
1,spatial_dsl_selected_blocks,r1c0,2,0.4723,0.00,1239.67,174.21,1422.33
1,spatial_dsl_selected_blocks,r1c0,2,0.4581,38.59,1020.38,232.45,1153.35
