frame_id,strategy,block_id,class_id,confidence,x1,y1,x2,y2
1,full_frame_reference,full,2,0.7958,2456.45,1479.86,3051.21,1813.39
1,full_frame_reference,full,2,0.7781,1439.16,1539.32,1930.65,1893.94
1,full_frame_reference,full,2,0.7730,3180.29,1155.11,3638.35,1359.37
1,full_frame_reference,full,2,0.6188,797.77,1102.54,1038.48,1255.71
1,full_frame_reference,full,2,0.6047,3572.58,1410.07,3838.43,1735.50
1,full_frame_reference,full,2,0.6012,2485.42,1198.90,2836.01,1378.41
1,full_frame_reference,full,7,0.5887,422.06,1793.25,1110.10,2156.10
1,full_frame_reference,full,2,0.5833,363.01,1327.33,706.06,1569.76
1,full_frame_reference,full,2,0.5271,1266.25,1185.41,1571.01,1346.92
1,full_frame_reference,full,2,0.4292,1150.63,1041.37,1366.21,1173.41
1,full_frame_reference,full,2,0.4291,0.31,1515.77,75.92,1709.40
1,full_frame_reference,full,0,0.3954,728.63,1293.55,794.76,1448.08
1,full_frame_reference,full,2,0.3921,3195.45,953.29,3487.52,1070.44
1,full_frame_reference,full,2,0.3773,1452.03,976.74,1687.43,1101.00
1,full_frame_reference,full,2,0.3565,474.90,887.47,660.96,1016.38
1,full_frame_reference,full,2,0.3555,871.23,910.87,1050.59,1031.21
1,full_frame_reference,full,2,0.3485,1733.47,857.68,1842.86,946.84
1,full_frame_reference,full,2,0.3088,3679.01,951.68,3834.11,1067.48
1,full_frame_reference,full,2,0.3060,1619.71,1098.15,1843.78,1259.90
1,full_frame_reference,full,2,0.3037,0.70,1235.64,172.76,1442.94
1,full_frame_reference,full,2,0.2995,1263.47,859.92,1448.48,968.77
1,full_frame_reference,full,2,0.2900,742.80,866.81,910.67,979.54
1,full_frame_reference,full,2,0.2525,0.86,1095.09,176.14,1439.45
1,full_frame_reference,full,2,0.2507,2287.54,955.57,2506.22,1061.34
1,uniform_tiled_all_blocks,r0c1,2,0.6561,1801.95,668.40,1923.88,719.06
1,uniform_tiled_all_blocks,r0c1,2,0.5402,1945.59,656.75,2041.25,707.42
1,uniform_tiled_all_blocks,r0c1,2,0.5275,2218.09,686.18,2350.33,718.54
1,uniform_tiled_all_blocks,r0c1,2,0.4678,1891.63,666.35,1979.36,715.43
1,uniform_tiled_all_blocks,r0c1,2,0.4577,1996.64,643.29,2086.29,700.82
1,uniform_tiled_all_blocks,r0c1,2,0.4029,2372.91,613.38,2433.66,657.24
1,uniform_tiled_all_blocks,r0c1,2,0.2883,2101.99,695.69,2185.32,718.71
1,uniform_tiled_all_blocks,r0c2,2,0.6665,2646.94,589.57,2750.80,637.74
1,uniform_tiled_all_blocks,r0c2,7,0.6098,3242.16,625.48,3318.38,696.97
1,uniform_tiled_all_blocks,r0c2,2,0.5473,2603.47,632.08,2670.07,695.68
1,uniform_tiled_all_blocks,r0c2,7,0.4730,3524.20,587.34,3623.30,706.10
1,uniform_tiled_all_blocks,r0c2,2,0.3719,2847.90,659.47,3030.56,718.26
1,uniform_tiled_all_blocks,r0c2,0,0.3711,3327.65,617.50,3351.70,669.83
1,uniform_tiled_all_blocks,r0c2,5,0.3710,3397.46,589.31,3502.19,696.73
1,uniform_tiled_all_blocks,r0c2,2,0.3510,3804.34,644.01,3839.62,715.12
1,uniform_tiled_all_blocks,r0c2,5,0.3451,3396.96,590.70,3471.37,697.43
1,uniform_tiled_all_blocks,r0c2,2,0.3405,3622.40,685.41,3780.88,720.00
1,uniform_tiled_all_blocks,r0c2,2,0.3205,2870.66,636.15,2981.08,674.99
1,uniform_tiled_all_blocks,r0c2,2,0.3084,3662.22,641.95,3743.71,686.49
1,uniform_tiled_all_blocks,r0c2,2,0.2990,3438.16,671.69,3529.69,720.00
1,uniform_tiled_all_blocks,r1c0,0,0.8768,730.17,1286.15,796.21,1439.89
1,uniform_tiled_all_blocks,r1c0,2,0.8713,802.14,1094.76,1038.48,1247.77
1,uniform_tiled_all_blocks,r1c0,2,0.8688,1028.66,844.10,1191.62,935.11
1,uniform_tiled_all_blocks,r1c0,2,0.8579,752.43,870.69,907.03,971.29
1,uniform_tiled_all_blocks,r1c0,2,0.8550,871.23,910.56,1045.24,1017.55
1,uniform_tiled_all_blocks,r1c0,2,0.8392,471.25,883.68,658.03,1015.31
1,uniform_tiled_all_blocks,r1c0,2,0.8333,1147.67,823.29,1279.42,917.56
1,uniform_tiled_all_blocks,r1c0,2,0.8089,399.29,981.77,603.44,1104.86
1,uniform_tiled_all_blocks,r1c0,2,0.7966,320.81,914.68,473.47,1033.89
1,uniform_tiled_all_blocks,r1c0,2,0.7927,1148.38,1028.06,1279.55,1169.02
1,uniform_tiled_all_blocks,r1c0,2,0.7639,1024.65,749.53,1150.68,824.04
1,uniform_tiled_all_blocks,r1c0,2,0.7378,336.06,809.81,494.62,904.09
1,uniform_tiled_all_blocks,r1c0,2,0.7165,934.77,761.46,1041.66,833.48
1,uniform_tiled_all_blocks,r1c0,2,0.7138,0.28,970.16,119.98,1084.50
1,uniform_tiled_all_blocks,r1c0,2,0.7095,136.24,941.91,332.85,1063.78
1,uniform_tiled_all_blocks,r1c0,2,0.7085,0.31,1238.58,173.91,1414.31
1,uniform_tiled_all_blocks,r1c0,2,0.6536,174.71,842.04,321.55,920.60
1,uniform_tiled_all_blocks,r1c0,2,0.6159,472.29,805.88,609.33,889.93
1,uniform_tiled_all_blocks,r1c0,2,0.6146,365.64,1331.75,689.20,1438.43
1,uniform_tiled_all_blocks,r1c0,2,0.5714,714.83,790.11,844.60,864.89
1,uniform_tiled_all_blocks,r1c0,2,0.5600,41.94,1022.04,232.34,1153.01
1,uniform_tiled_all_blocks,r1c0,2,0.5580,595.24,792.87,727.43,872.17
1,uniform_tiled_all_blocks,r1c0,2,0.4266,824.14,763.12,974.53,849.39
1,uniform_tiled_all_blocks,r1c0,2,0.2892,0.27,887.74,31.69,922.14
1,uniform_tiled_all_blocks,r1c1,2,0.8583,2290.57,945.36,2506.30,1050.06
1,uniform_tiled_all_blocks,r1c1,2,0.8462,1447.75,970.78,1675.13,1104.01
1,uniform_tiled_all_blocks,r1c1,2,0.8343,1621.26,1100.24,1847.58,1238.12
1,uniform_tiled_all_blocks,r1c1,2,0.7963,1282.53,1175.24,1571.91,1339.39
1,uniform_tiled_all_blocks,r1c1,2,0.7849,1280.26,1035.27,1366.72,1155.99
1,uniform_tiled_all_blocks,r1c1,2,0.7828,2488.14,1213.60,2559.54,1311.01
1,uniform_tiled_all_blocks,r1c1,2,0.7363,1834.29,833.43,1953.43,929.62
1,uniform_tiled_all_blocks,r1c1,2,0.6565,1606.42,844.74,1713.93,935.84
1,uniform_tiled_all_blocks,r1c1,2,0.6415,2177.76,821.96,2313.60,919.39
1,uniform_tiled_all_blocks,r1c1,7,0.6340,2512.72,818.09,2559.48,920.82
1,uniform_tiled_all_blocks,r1c1,2,0.6043,2372.28,825.94,2460.73,915.97
1,uniform_tiled_all_blocks,r1c1,2,0.5993,1729.64,841.90,1839.83,942.45
1,uniform_tiled_all_blocks,r1c1,2,0.5887,1685.55,807.29,1782.42,887.09
